,titulo,enlace,ubicacion,zona,precio_publicado,precio_pesos,terreno_m2,construidos_m2,cuartos,banos,estacionamiento,contacto
0,Riva Puerto Cancún,https://www.inmuebles24.com/propiedades/riva-puerto-cancun-54822695.html,"Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 9,900,000",9900000.0,,,,,,54822695
1,Departamento en Venta en Cancún Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-hotelera-57363378.html,"Departamento en Venta en Cancún Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 650,000",12051000.0,,,3,,,57363378
2,Be Towers Puerto Cancun Venta,https://www.inmuebles24.com/propiedades/be-towers-puerto-cancun-venta-53697814.html,"puerto cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 9,000,000",9000000.0,214,214,3,,2,53697814
3,Zona Hotelera Nuevo Proyecto con Vista Al Mar Frente a Playa Tortuga,https://www.inmuebles24.com/propiedades/zona-hotelera-nuevo-proyecto-con-vista-al-mar-frente-a-57248132.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 4,740,000",4740000.0,96,96,2,,2,57248132
4,"Marea, Puerto Cancún | Elite Residences",https://www.inmuebles24.com/propiedades/marea-puerto-cancun-elite-residences-55734199.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 11,197,000",11197000.0,200,200,2,,2,55734199
5,Exclusivo Departamento Emerald Zona Hotelera,https://www.inmuebles24.com/propiedades/exclusivo-departamento-emerald-zona-hotelera-57351014.html,"emerald residential,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,825,000",33835500.0,299,299,3,,2,57351014
6,Hermoso Departamento de 2 Recámaras en Puerto Cancún Sky Cancún,https://www.inmuebles24.com/propiedades/hermoso-departamento-de-2-recamaras-en-puerto-cancun-51038142.html,"Av. Bonampak Mz Lte 01 SM 00C, Cancún, Quintana Roo,,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 6,800,000",6800000.0,160,160,2,,2,51038142
7,Allure Ocean Front Luxury Condos – Puerto Cancun,https://www.inmuebles24.com/propiedades/allure-ocean-front-luxury-condos-puerto-cancun-53780828.html,"puerto cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 13,867,000",13867000.0,233,233,4,,2,53780828
8,Departamento Venta Bay View Grand Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/departamento-venta-bay-view-grand-zona-hotelera-cancun-57085263.html,"Departamento Venta BAY View Grand  Zona Hotelera Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 900,000",16686000.0,240,240,3,,2,57085263
9,Venta de Hermoso Departamento en Zona Hotelera de Cancún,https://www.inmuebles24.com/propiedades/venta-de-hermoso-departamento-en-zona-hotelera-de-57133075.html,"Boulevard Kukulcán km. 11.5, zona hotelera, Cancún ,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 47,900,000",47900000.0,365,365,4,,4,57133075
